origen,producto_insumo_codigo,producto_insumo,producto_destino_codigo,producto_destino,valor_millones_quetzales
domestico,P002,Frijoles,P012,"Bananos, plátanos y otros",0
domestico,P002,Frijoles,P013,Frutas tropicales y subtropicales,0
domestico,P002,Frijoles,P014,"Berries, otras frutas y semillas de frutas",0
domestico,P002,Frijoles,P015,Palma africana,0
domestico,P002,Frijoles,P016,Café en grano,0
domestico,P002,Frijoles,P017,Cardamomo,0
domestico,P002,Frijoles,P018,Caucho natural,0
domestico,P002,Frijoles,P019,Propagación de plantas,0.518795873977713
domestico,P002,Frijoles,P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",0
domestico,P002,Frijoles,P021,Ganado bovino,0
domestico,P002,Frijoles,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,0
domestico,P002,Frijoles,P023,Aves de corral,0
domestico,P002,Frijoles,P024,Leche cruda,0
domestico,P002,Frijoles,P025,Huevos,0
domestico,P002,Frijoles,P026,Otros productos de animales vivos,0
domestico,P002,Frijoles,P027,Troncos de madera y leña,0
domestico,P002,Frijoles,P028,Productos forestales no madereros,0
domestico,P002,Frijoles,P029,"Peces vivos, frescos o refrigerados",0
domestico,P002,Frijoles,P030,Crustáceos sin congelar y otros productos de la pesca,0
domestico,P002,Frijoles,P031,Petróleo crudo y gas natural,0
domestico,P002,Frijoles,P032,Minerales metálicos,0
domestico,P002,Frijoles,P033,Minerales no metálicos,0
domestico,P002,Frijoles,P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,0
domestico,P002,Frijoles,P035,Carne y despojos comestibles de ganado porcino,0
domestico,P002,Frijoles,P036,Carne y despojos comestibles de aves,0
domestico,P002,Frijoles,P037,Carne y despojos de otros animales y conservas y preparados de carne,9.91514043060469e-05
domestico,P002,Frijoles,P038,"Pescado congelado, preparado o en conserva y sus productos",0
domestico,P002,Frijoles,P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",0
domestico,P002,Frijoles,P040,"Vegetales preparados o en conserva, legumbres y papas",46.1219991209502
domestico,P002,Frijoles,P041,Preparaciones y conservas de frutas y nueces,0
domestico,P002,Frijoles,P042,Jugos de frutas,0
domestico,P002,Frijoles,P043,Aceites de origen vegetal,0
domestico,P002,Frijoles,P044,"Margarina, grasas y otros aceites de origen animal y vegetal",0
domestico,P002,Frijoles,P045,Leche líquida y crema procesada,0
domestico,P002,Frijoles,P046,Otros productos lácteos n.c.p.,0
domestico,P002,Frijoles,P047,Harina de trigo,0
domestico,P002,Frijoles,P048,Arroz sin cáscara,0
domestico,P002,Frijoles,P049,"Otros productos de molinería, almidones y productos de almidón",0
domestico,P002,Frijoles,P050,Pan y otros productos de panadería y repostería n.c.p.,0
domestico,P002,Frijoles,P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",0
domestico,P002,Frijoles,P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",0
domestico,P002,Frijoles,P053,Productos alimenticios n.c.p.,3.73931550876515
domestico,P002,Frijoles,P054,Preparados para alimentación animal,0
domestico,P002,Frijoles,P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",0
domestico,P002,Frijoles,P056,Malta y cerveza de malta,0
domestico,P002,Frijoles,P057,Bebidas no alcohólicas,0
domestico,P002,Frijoles,P058,Aguas minerales y otras aguas embotelladas,0
