origen,codigo,producto,componente,valor_publicado_millones_quetzales,multiplicador_contable,valor_aplicado_millones_quetzales
domestico,P136,Servicios de manufactura,exportaciones_fob,3609.5874353223,1,3609.5874353223
domestico,P137,Servicios públicos del gobierno general,exportaciones_fob,0,1,0
domestico,P138,"Servicios públicos administrativos relacionados con la provisión de servicios educativos, de salud, servicios sociales, culturales y otros, sin contar los servicios de seguridad social",exportaciones_fob,0,1,0
domestico,P139,Otros servicios administrativos,exportaciones_fob,0,1,0
domestico,P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,exportaciones_fob,25.3492686103732,1,25.3492686103732
domestico,P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,exportaciones_fob,0,1,0
domestico,P142,Servicios de enseñanza,exportaciones_fob,2.89474059715065,1,2.89474059715065
domestico,P143,Servicios de hospitalización,exportaciones_fob,118.706199617126,1,118.706199617126
domestico,P144,Servicios médicos y dentales,exportaciones_fob,175.055693929619,1,175.055693929619
domestico,P145,Otros servicios de atención de la salud humana,exportaciones_fob,53.5696091052262,1,53.5696091052262
domestico,P146,"Servicios audiovisuales, recreativos, culturales y deportivos",exportaciones_fob,0,1,0
domestico,P147,Servicios de asociaciones que sirven a las empresas,exportaciones_fob,0,1,0
domestico,P148,Servicios de asociaciones que sirven a los hogares,exportaciones_fob,0,1,0
domestico,P149,Otros servicios,exportaciones_fob,0,1,0
domestico,P150,Servicios domésticos,exportaciones_fob,0,1,0
domestico,P151,Compras directas en el exterior por residentes,exportaciones_fob,0,1,0
domestico,P152,Compras directas en el territorio nacional por no residentes,exportaciones_fob,0,1,0
domestico,P001,Maíz,consumo_hogares,3224.93987528495,1,3224.93987528495
domestico,P002,Frijoles,consumo_hogares,1303.74832387208,1,1303.74832387208
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,consumo_hogares,82.8163497903019,1,82.8163497903019
domestico,P004,Arroz,consumo_hogares,0,1,0
domestico,P005,Otros cereales,consumo_hogares,97.7839968027453,1,97.7839968027453
domestico,P006,Hortalizas,consumo_hogares,3827.08129855607,1,3827.08129855607
domestico,P007,Sandías y melones,consumo_hogares,129.988588653985,1,129.988588653985
domestico,P008,Ejotes y arvejas,consumo_hogares,161.011998469635,1,161.011998469635
domestico,P009,Raíces y tubérculos,consumo_hogares,1374.67309893429,1,1374.67309893429
domestico,P010,Caña de azúcar y otras plantas azucareras,consumo_hogares,3.29261128151251,1,3.29261128151251
domestico,P011,Tabaco y otras plantas no perennes,consumo_hogares,166.74203368947,1,166.74203368947
domestico,P012,"Bananos, plátanos y otros",consumo_hogares,1417.9794959988,1,1417.9794959988
domestico,P013,Frutas tropicales y subtropicales,consumo_hogares,1137.66719872416,1,1137.66719872416
domestico,P014,"Berries, otras frutas y semillas de frutas",consumo_hogares,1121.12376003269,1,1121.12376003269
domestico,P015,Palma africana,consumo_hogares,0,1,0
domestico,P016,Café en grano,consumo_hogares,0,1,0
domestico,P017,Cardamomo,consumo_hogares,0,1,0
domestico,P018,Caucho natural,consumo_hogares,0,1,0
domestico,P019,Propagación de plantas,consumo_hogares,29.3152840544036,1,29.3152840544036
domestico,P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",consumo_hogares,144.077705702481,1,144.077705702481
domestico,P021,Ganado bovino,consumo_hogares,0,1,0
domestico,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,consumo_hogares,161.787970152478,1,161.787970152478
domestico,P023,Aves de corral,consumo_hogares,507.51020133369,1,507.51020133369
domestico,P024,Leche cruda,consumo_hogares,693.662732514208,1,693.662732514208
domestico,P025,Huevos,consumo_hogares,2457.93297675151,1,2457.93297675151
domestico,P026,Otros productos de animales vivos,consumo_hogares,26.607745270105,1,26.607745270105
domestico,P027,Troncos de madera y leña,consumo_hogares,3103.5125972631,1,3103.5125972631
domestico,P028,Productos forestales no madereros,consumo_hogares,81.2000295170458,1,81.2000295170458
domestico,P029,"Peces vivos, frescos o refrigerados",consumo_hogares,821.047512052852,1,821.047512052852
domestico,P030,Crustáceos sin congelar y otros productos de la pesca,consumo_hogares,320.305583864874,1,320.305583864874
domestico,P031,Petróleo crudo y gas natural,consumo_hogares,0,1,0
domestico,P032,Minerales metálicos,consumo_hogares,0,1,0
domestico,P033,Minerales no metálicos,consumo_hogares,173.130713538716,1,173.130713538716
domestico,P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,consumo_hogares,4837.29184482891,1,4837.29184482891
domestico,P035,Carne y despojos comestibles de ganado porcino,consumo_hogares,618.991393580605,1,618.991393580605
domestico,P036,Carne y despojos comestibles de aves,consumo_hogares,6091.06880629303,1,6091.06880629303
domestico,P037,Carne y despojos de otros animales y conservas y preparados de carne,consumo_hogares,1359.29594115587,1,1359.29594115587
domestico,P038,"Pescado congelado, preparado o en conserva y sus productos",consumo_hogares,21.1566184058213,1,21.1566184058213
domestico,P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",consumo_hogares,17.7819743831953,1,17.7819743831953
domestico,P040,"Vegetales preparados o en conserva, legumbres y papas",consumo_hogares,399.079691554193,1,399.079691554193
domestico,P041,Preparaciones y conservas de frutas y nueces,consumo_hogares,248.901782323262,1,248.901782323262
domestico,P042,Jugos de frutas,consumo_hogares,817.259741905873,1,817.259741905873
domestico,P043,Aceites de origen vegetal,consumo_hogares,905.81234479572,1,905.81234479572
domestico,P044,"Margarina, grasas y otros aceites de origen animal y vegetal",consumo_hogares,247.777517784035,1,247.777517784035
domestico,P045,Leche líquida y crema procesada,consumo_hogares,876.611910485084,1,876.611910485084
domestico,P046,Otros productos lácteos n.c.p.,consumo_hogares,1657.59743301166,1,1657.59743301166
domestico,P047,Harina de trigo,consumo_hogares,39.5088965246785,1,39.5088965246785
domestico,P048,Arroz sin cáscara,consumo_hogares,402.350296283072,1,402.350296283072
domestico,P049,"Otros productos de molinería, almidones y productos de almidón",consumo_hogares,555.877342187224,1,555.877342187224
domestico,P050,Pan y otros productos de panadería y repostería n.c.p.,consumo_hogares,6517.40362525394,1,6517.40362525394
domestico,P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",consumo_hogares,5399.22865454342,1,5399.22865454342
domestico,P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",consumo_hogares,2663.40114286428,1,2663.40114286428
domestico,P053,Productos alimenticios n.c.p.,consumo_hogares,3646.05939830457,1,3646.05939830457
domestico,P054,Preparados para alimentación animal,consumo_hogares,146.159190977591,1,146.159190977591
domestico,P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",consumo_hogares,246.475617819438,1,246.475617819438
domestico,P056,Malta y cerveza de malta,consumo_hogares,1249.69483659951,1,1249.69483659951
domestico,P057,Bebidas no alcohólicas,consumo_hogares,5874.567131361,1,5874.567131361
domestico,P058,Aguas minerales y otras aguas embotelladas,consumo_hogares,878.188365199094,1,878.188365199094
domestico,P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",consumo_hogares,1217.33216794975,1,1217.33216794975
domestico,P060,"Prendas de vestir, adobo y teñido de pieles",consumo_hogares,3876.87120940538,1,3876.87120940538
