codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,coeficiente_insumo_domestico_directo,coeficiente_importacion_directa,coeficiente_intermedio_total_directo,coeficiente_valor_agregado_directo,coeficiente_impuestos_netos_sobre_insumos_intermedios_asociados_directo,coeficiente_empleo_directo_puestos_por_millon,multiplicador_produccion_domestica,multiplicador_produccion_indirecta,requerimiento_importacion_total,requerimiento_importacion_indirecta,multiplicador_valor_agregado,multiplicador_valor_agregado_indirecto,impuestos_netos_sobre_insumos_intermedios_asociados_total,impuestos_netos_sobre_insumos_intermedios_asociados_indirecto,multiplicador_empleo_puestos_por_millon,multiplicador_empleo_indirecto_puestos_por_millon,encadenamiento_atras_directo_normalizado,indice_dispersion_adelante_directo_normalizado,encadenamiento_adelante_directo_normalizado,encadenamiento_atras_normalizado,indice_dispersion_adelante_rh_normalizado,encadenamiento_adelante_normalizado,metodo_indice_adelante,tipo_encadenamiento,ranking_multiplicador_produccion,ranking_requerimiento_importacion,ranking_multiplicador_valor_agregado,ranking_multiplicador_empleo,ranking_encadenamiento_atras,ranking_indice_dispersion_adelante_rh
P011,Tabaco y otras plantas no perennes,False,True,apto,0.264454656565564,0.0905535021114621,0.355008158677026,0.640185912859007,0.0048059284639647,23.0910901062071,1.35096080783034,0.350960807830339,0.14040759194531,0.049854089833848,0.851763595569138,0.211577682710131,0.00782881248552277,0.00302288402155807,28.2017566241153,5.11066651790815,0.815511712634687,1.35373967134824,1.35373967134824,0.916072836325048,1.06478409057653,1.06478409057653,Rasmussen-Hirschman_filas_L_no_Ghosh,proveedor_estrategico,102,103,41,19,102,42
P012,"Bananos, plátanos y otros",False,True,apto,0.322183345512079,0.118800310367476,0.440983655879555,0.553219158279243,0.0057971858412004,12.4693918173614,1.43769407234383,0.43769407234383,0.202214463162424,0.0834141527949485,0.787681607461893,0.23446244918265,0.0101039293756675,0.00430674353446711,16.5607414654918,4.09134964813042,0.993532484143606,0.144221205414148,0.144221205414148,0.974885784240398,0.712334431479584,0.712334431479584,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,77,70,77,40,77,102
P013,Frutas tropicales y subtropicales,False,True,apto,0.142942545353347,0.0587643220055977,0.201706867358944,0.795940123351153,0.0023530092899014,41.1289398836916,1.19501587919587,0.195015879195874,0.0957417377057701,0.0369774157001724,0.899911227809127,0.103971104457974,0.00434703448509307,0.00199402519519167,43.4810136740547,2.35207379036309,0.440798893403372,0.416015772420084,0.416015772420084,0.810328160197758,0.773024123957388,0.773024123957388,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,137,120,25,11,137,80
P014,"Berries, otras frutas y semillas de frutas",False,True,apto,0.210947616724367,0.0911898482729312,0.302137464997298,0.694223179283195,0.0036393557195054,42.6503672192656,1.29096741193776,0.290967411937759,0.151811312219625,0.0606214639466936,0.842137539368138,0.147914360084943,0.00605114841222865,0.00241179269272325,44.6289861702445,1.97861895097894,0.650509446213681,0.429673656025054,0.429673656025054,0.875391922402497,0.777464705713831,0.777464705713831,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,118,97,47,9,118,79
P015,Palma africana,False,True,apto,0.294101203771294,0.105891233101788,0.399992436873082,0.595429671843777,0.0045778912831401,9.83685311926389,1.39211115210022,0.392111152100218,0.173887322799293,0.0679960896975048,0.817537070104276,0.222107398260499,0.00857560709642046,0.00399771581328036,14.1846213336816,4.3477682144177,0.90693421507588,1.88731892282683,1.88731892282683,0.943976467853487,1.22902659714674,1.22902659714674,Rasmussen-Hirschman_filas_L_no_Ghosh,proveedor_estrategico,87,84,61,52,87,28
P016,Café en grano,False,True,apto,0.619540657523538,0.0256977031091728,0.64523836063271,0.353740002778087,0.0010216365892018,9.3624478109816,2.08956023340053,1.08956023340053,0.0853621529349063,0.0596644498257336,0.909518994911223,0.555778992133136,0.00511885215385883,0.00409721556465703,31.0967669827668,21.7343191717852,1.91050771888594,1.36885344921459,1.36885344921459,1.41690962357188,1.18207210475477,1.18207210475477,Rasmussen-Hirschman_filas_L_no_Ghosh,clave,3,126,20,16,3,32
P017,Cardamomo,False,True,apto,0.517193305870077,0.0322794067933635,0.54947271266344,0.448540363340139,0.0019869239964206,17.7936907941185,1.81583195822136,0.815831958221357,0.0854625903369398,0.0531831835435763,0.908592695193989,0.46005233185385,0.00594471446906068,0.00395779047264008,36.7051084962551,18.9114177021366,1.59489420269949,0.950405269367442,0.950405269367442,1.2312972534925,0.979904481068212,0.979904481068212,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,18,125,21,13,18,49
P018,Caucho natural,False,True,apto,0.568046482591695,0.0722185829674835,0.640265065559179,0.353496600277868,0.0062383341629519,5.3476068822384,1.9958577340132,0.995857734013201,0.174394380483955,0.102175797516472,0.811834466898216,0.458337866620348,0.0137711526177997,0.00753281845484784,11.1215625910017,5.7739557087633,1.75171262208278,1.1051962096213,1.1051962096213,1.35337090809845,1.06047021749734,1.06047021749734,Rasmussen-Hirschman_filas_L_no_Ghosh,clave,5,82,64,69,5,44
P019,Propagación de plantas,False,True,apto,0.475012784393223,0.183431901566086,0.658444685959309,0.317489794452028,0.0240655195886602,20.5332283093726,1.68731144417733,0.687311444177332,0.276475383646451,0.0930434820803643,0.692506298009733,0.375016503557705,0.0310183183437778,0.00695279875511764,26.3250590391578,5.7918307297852,1.46482007295587,0.623556100103716,0.623556100103716,1.14414879504436,0.834725422534064,0.834725422534064,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,32,43,112,21,32,66
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",False,True,apto,0.247973699362691,0.117526946563747,0.365500645926438,0.624318855886604,0.0101804981869565,34.8776791206861,1.36629502237007,0.366295022370073,0.180161513288839,0.0626345667250921,0.805229491602754,0.18091063571615,0.014608995108395,0.00442849692143853,38.8075029681484,3.92982384746225,0.764688581709627,0.0451975595693095,0.0451975595693095,0.926470811843517,0.68922233736711,0.68922233736711,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,96,77,70,12,96,121
P021,Ganado bovino,False,True,apto,0.204466159095672,0.072537431515594,0.277003590611266,0.720001729407424,0.0029946799813082,19.7371074241943,1.29301124049095,0.293011240490947,0.125824000637748,0.053286569122154,0.869428304106763,0.149426574699339,0.00474769525547321,0.00175301527416501,22.8005081272785,3.06340070308424,0.630522259450585,1.89864865251964,1.89864865251964,0.876777821837054,1.26158207469123,1.26158207469123,Rasmussen-Hirschman_filas_L_no_Ghosh,proveedor_estrategico,116,111,35,28,116,26
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,False,True,apto,0.58087250313729,0.0456604961930182,0.626532999330308,0.368873965257228,0.0045930354124612,15.3264928433761,1.8547982893645,0.854798289364496,0.286923538900289,0.241263042707271,0.705867065367304,0.336993100110076,0.00720939573238664,0.00261636031992544,25.1305493060821,9.80405646270597,1.79126484671465,2.46812021957045,2.46812021957045,1.25771992784736,1.2812015454141,1.2812015454141,Rasmussen-Hirschman_filas_L_no_Ghosh,clave,12,38,105,23,12,24
P023,Aves de corral,False,True,apto,0.617460467144694,0.0532986431859265,0.670759110330621,0.326595429689808,0.0026454599795695,4.14546505726342,1.97239514159786,0.97239514159786,0.300078998715232,0.246780355529306,0.694499592590091,0.367904162900283,0.00542140869466017,0.00277594871509067,14.5613797108191,10.4159146535557,1.90409293443674,2.43825063417924,2.43825063417924,1.33746116189642,1.36261020732478,1.36261020732478,Rasmussen-Hirschman_filas_L_no_Ghosh,clave,8,32,111,51,8,20
P024,Leche cruda,False,True,apto,0.593171424484363,0.170049010464766,0.763220434949129,0.232075328388904,0.0047042366619648,6.21427308365608,1.8487218165075,0.848721816507501,0.351676860744677,0.181627850279911,0.639527425333582,0.407452096944678,0.00879571392171359,0.00409147725974879,17.0452813743957,10.8310082907396,1.82919162985989,2.20981651102415,2.20981651102415,1.25359953316774,1.17514988546136,1.17514988546136,Rasmussen-Hirschman_filas_L_no_Ghosh,clave,14,26,121,39,14,34
P025,Huevos,False,True,apto,0.319859406683951,0.0364493421445417,0.356308748828493,0.64117740560098,0.0025138455705264,8.02699273605245,1.46938999863841,0.469389998638413,0.170660128732302,0.134210786587761,0.825366991278467,0.184189585677487,0.00397287998922104,0.00145903441869464,13.230854462377,5.20386172632459,0.986366040722274,0.10901987654674,0.10901987654674,0.996378470728661,0.709520287712032,0.709520287712032,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,69,87,58,56,69,104
P026,Otros productos de animales vivos,False,True,apto,0.350318611202863,0.0408170723245718,0.391135683527435,0.60549156262972,0.0033727538428438,19.2647359378314,1.59059510888455,0.590595108884549,0.115241788311207,0.0744247159866353,0.877023316340776,0.271531753711056,0.007734895348001,0.0043621415051572,23.4021537637778,4.13741782594634,1.08029457412494,0.0334675416296549,0.0334675416296549,1.07856642797857,0.691415299469275,0.691415299469275,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,42,113,34,26,42,117
P027,Troncos de madera y leña,False,True,apto,0.121246952708754,0.048608841042238,0.169855793750992,0.824559169560504,0.0055850366885027,53.5521360406803,1.15903914695124,0.159039146951244,0.0740810511333983,0.0254722100911603,0.918172837470578,0.0936136679100743,0.00774611139601328,0.00216107470751058,56.115733742335,2.5635977016547,0.3738951370317,1.28150058275526,1.28150058275526,0.785932702566404,1.10789332141538,1.10789332141538,Rasmussen-Hirschman_filas_L_no_Ghosh,proveedor_estrategico,140,128,16,7,140,39
P028,Productos forestales no madereros,False,True,apto,0.240651663082722,0.0592951820252802,0.299946845108002,0.693996567729799,0.0060565871621973,41.1302106040178,1.32678000529741,0.32678000529741,0.108083565703988,0.0487883836787079,0.881934625163759,0.18793805743396,0.00998180913224184,0.00392522197004454,44.3971011916315,3.26689058761366,0.742109261594041,0.0161268563946571,0.0161268563946571,0.899676079118944,0.682504118012018,0.682504118012018,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,107,116,31,10,107,129
