indicador_id,indicador,unidad,criterio_desempate,posicion_ordenada,rango_con_empates,codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,valor
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,132,132,P007,Sandías y melones,False,True,apto,0.679683603551312
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,133,133,P086,Electrodomésticos y sus partes,True,False,solo_completitud_algebraica,0.678089868359197
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,134,134,P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",True,False,solo_completitud_algebraica,0.678089868355328
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,135,135,P032,Minerales metálicos,False,True,apto,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,136,135,P069,"Aceites, grasas lubricantes y otros aceites preparados",True,False,solo_completitud_algebraica,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,137,135,P089,"Equipo y aparatos de radio, televisión y comunicaciones",True,False,solo_completitud_algebraica,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,138,135,P098,Edificaciones residenciales,False,True,apto,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,139,135,P099,Edificaciones no residenciales,False,True,apto,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,140,135,P100,Obras de ingeniería civil,False,True,apto,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,141,135,P113,Servicios de banco central,False,True,apto,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,142,135,P118,Servicios de alquiler de vivienda,False,True,apto,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,143,135,P137,Servicios públicos del gobierno general,False,True,apto,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,144,135,P138,"Servicios públicos administrativos relacionados con la provisión de servicios educativos, de salud, servicios sociales, culturales y otros, sin contar los servicios de seguridad social",False,True,apto,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,145,135,P139,Otros servicios administrativos,False,True,apto,0.678089868348049
