codigo,producto,produccion_precios_basicos,total_utilizacion_precios_basicos,diferencia_produccion_utilizacion,producto_interno_bruto,puestos_trabajo
P072,"Pinturas, barnices, tintas y productos relacionados",1030.85683353494,1030.85683353495,-6.59383658785373e-12,1041.99356046867,2057
P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",4141.02083743542,4141.02083743533,8.54925019666553e-11,4178.50627069708,6535
P074,Otros productos químicos,3266.28220093921,3266.28220094008,-8.66293703438714e-10,3287.72214249592,5689
P075,Productos farmacéuticos,2427.51929867629,2427.51929868086,-4.56293491879478e-09,2455.3641486607,3151
P076,Productos de caucho y plástico,7898.71526704141,7898.71526704155,-1.45519152283669e-10,7958.30673180024,18525
P077,Vidrio y productos de vidrio,698.563149758438,698.563149758455,-1.69393388205208e-11,705.332141327161,596
P078,Productos de cerámica y arcilla,1318.05920734679,1318.05920734675,3.68345354218036e-11,1330.11163819298,17954
P079,"Cemento, cal y yeso",4270.90379471557,4270.9037947153,2.71938915830106e-10,4316.68069847269,2541
P080,"Artículos de hormigón, cemento y yeso",2121.42805710083,2121.42805710102,-1.81444193003699e-10,2165.17169314267,6767
P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,587.78490296724,587.78490296732,-8.01492205937393e-11,594.860685741553,2351
P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",4879.7175822297,4879.71758223381,-4.10909706261009e-09,4920.74065050387,3008
P083,Productos metálicos estructurales y sus partes de hierro o de acero,1571.09393742892,1571.093937429,-7.77617970015854e-11,1586.86762258867,9501
P084,Otros productos elaborados de metal,2538.60536408573,2538.60536408621,-4.76120476378128e-10,2567.88556691619,13384
P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",1942.761139475,1942.76113947594,-9.40872268984094e-10,1958.49304536087,5505
P086,Electrodomésticos y sus partes,0,3.1229548035988e-08,-3.1229548035988e-08,0,0
P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",0,2.1801414680877e-08,-2.1801414680877e-08,0,0
P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",1258.8127128628,1258.81271286266,1.3505996321328e-10,1275.4829024844,1919
P089,"Equipo y aparatos de radio, televisión y comunicaciones",0,0,0,0,0
