codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente
P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,0,211.539184031014,0,0.0268527056422262,0,1.24017091891995,0,-0,212.806207655576,212.806207655576
P062,"Calzado y sus partes, de cualquier material y de cualquier uso",0,1134.50067505732,0,0,0,1.5384172550069,0,-0,1136.03909231233,1136.03909231233
P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",0,7.88564955040037,0,0,39.7606197584,2.83824853424889,0,-0,50.4845178430493,50.4845178430493
P064,Pasta de papel y papel,0,1619.0118735249,6.25820844792883,8.20816888940148,0,18.1126474186738,0,-0,1651.5908982809,1651.5908982809
P065,Envases de papel y cartón,0,0.965560099111361,0,0,0,1.373942762946,0,-0,2.33950286205736,2.33950286205737
P066,Productos de la edición,0,283.263094029696,1.08920248304402,0,0,168.754183432456,0,-0,453.106479945196,453.106479945196
P067,Productos de la impresión,0,14.9936599922449,0,0,0,0.329193524445272,0,-0,15.3228535166902,15.3228535166902
P068,"Gasolinas, diésel oil y fuel oils",921.76585411806,7004.80605076969,0,0,0,240.349142019216,0,-0,8166.92104690696,8166.92104690696
P069,"Aceites, grasas lubricantes y otros aceites preparados",4.41639082227831,47.3890824852331,0,0,0,26.9472476697958,0,-0,78.7527209773073,78.7527209773073
P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",1254.52007312461,1167.04799007674,0,0,0,97.3367021486102,0,-0,2518.90476534996,2518.90476534996
P071,"Abonos, fertilizantes y pesticidas",0,5.5940367295078,0,0,0,4.52348829741534,0,-0,10.1175250269231,10.1175250269234
P072,"Pinturas, barnices, tintas y productos relacionados",0,45.8694962792841,3.22247522933776,0,0,1.37570108119315,0,-0,50.467672589815,50.467672589815
P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",0,2096.12203074159,0,0,0,-1.66603719571622,0,-0,2094.45599354587,2094.45599354587
P074,Otros productos químicos,205.039543234673,394.830548233483,0,0,0,95.1557561075024,0,-0,695.025847575659,695.025847575658
P075,Productos farmacéuticos,0,2013.8136742489,131.432273433539,1260.18863896096,0,25.114144048869,0,-0,3430.54873069227,3430.54873069227
P076,Productos de caucho y plástico,0,1208.93243359117,3.7452745492198,0,0,6.45520916846004,0,-0,1219.13291730885,1219.13291730885
P077,Vidrio y productos de vidrio,0,56.977035817301,0,0,0,2.02737774959598,0,-0,59.004413566897,59.004413566897
P078,Productos de cerámica y arcilla,0,75.7777164883488,0,0,0,2.45408062719782,0,-0,78.2317971155466,78.2317971155466
P079,"Cemento, cal y yeso",0,4.19941114080763,0,0,0,1.38384197751104,0,-0,5.58325311831867,5.58325311831868
P080,"Artículos de hormigón, cemento y yeso",0,0.00262967656352612,0,0,0,0.483541942371339,0,-0,0.486171618934865,0.486171618934861
P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,8.4439546455,13.7752186417395,0,0,0,6.78743390150109,0,-0,29.0066071887406,29.0066071887406
P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",43.71922,0.0348164775019113,0,0,0,34.936780427105,0,-0,78.6908169046069,78.6908169046073
P083,Productos metálicos estructurales y sus partes de hierro o de acero,0,101.925394348427,0,0,0,2.4455716393985,0,-0,104.370965987825,104.370965987825
P084,Otros productos elaborados de metal,0,478.677036201148,0,0.0101029467184498,510.432917064997,21.2670663673099,0,-0,1010.38712258017,1010.38712258017
