codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente,ajuste_balance_produccion_utilizacion,demanda_final_balanceada
P050,Pan y otros productos de panadería y repostería n.c.p.,534.57478682291,6517.40362525394,0.0468300936640175,3.38767022446385,0,0.841144547415498,0,-0,7056.25405694239,7056.25405694239,-1.08229869510978e-10,7056.25405694228
P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",0,5399.22865454342,0,0.151413531187825,0,0.22238324064372,0,-0,5399.60245131525,5399.60245131525,9.09494701772928e-13,5399.60245131525
P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",7669.3661073908,2663.40114286428,0.0011726435111358,4.85533436566412,0,187.509436578943,0,-0,10525.1331938432,10525.1331938432,4.36557456851006e-11,10525.1331938432
P053,Productos alimenticios n.c.p.,2106.01877040786,3646.05939830457,9.84372932028419,44.8870119526667,0,7.75856246104126,0,-0,5814.56747244642,5814.56747244642,2.03726813197136e-10,5814.56747244662
P054,Preparados para alimentación animal,486.0510529846,146.159190977591,0.0290225904623408,0,0,-50.9244434369304,0,-0,581.314823115723,581.314823115723,-6.3664629124105e-11,581.31482311566
P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",932.8401244063,246.475617819438,0,0,0,45.0080152404279,0,-0,1224.32375746617,1224.32375746617,8.8220986071974e-11,1224.32375746625
P056,Malta y cerveza de malta,67.2275917507,1249.69483659951,0,0,0,-5.34028208305768,0,-0,1311.58214626715,1311.58214626715,-3.86535248253495e-11,1311.58214626711
P057,Bebidas no alcohólicas,805.8001597261,5874.567131361,9.87869341799467,1.44228673320803,0,92.4790126058784,0,-0,6784.16728384418,6784.16728384418,-1.36424205265939e-11,6784.16728384417
P058,Aguas minerales y otras aguas embotelladas,25.854833,878.188365199094,0.345937703767186,0.598693963308287,0,-1.5600683417931,0,-0,903.427761524376,903.427761524376,-6.79847289575264e-11,903.427761524308
P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",1335.8201176744,1217.33216794975,0.00931229335243587,0,0,119.411656715364,0,-0,2672.57325463287,2672.57325463287,1.7751517589204e-08,2672.57325465062
P060,"Prendas de vestir, adobo y teñido de pieles",2056.01596690294,3876.87120940538,4.77069096103542,0,0,63.08589721228,0,-0,6000.74376448164,6000.74376448164,-1.95632310351357e-09,6000.74376447968
P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,112.107586828927,463.276098182109,0,0.0269078464091906,0,16.9157757563243,0,-0,592.32636861377,592.32636861377,-2.31921148952097e-11,592.326368613746
P062,"Calzado y sus partes, de cualquier material y de cualquier uso",270.096255615323,1034.69293268236,0,0,0,4.96473116888412,0,-0,1309.75391946657,1309.75391946657,-3.18323145620525e-11,1309.75391946654
P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",429.038133821652,26.5738585568122,0,0,0,45.5310263304184,0,-0,501.143018708883,501.143018708882,-2.45563569478691e-11,501.143018708857
P064,Pasta de papel y papel,469.769258195123,411.58204429454,1.59094955925924,2.0866647037365,0,20.3480006610956,0,-0,905.376917413755,905.376917413755,-2.58296495303512e-10,905.376917413497
P065,Envases de papel y cartón,922.0308533418,5.60091086528783,0,0,0,27.8473967578313,0,-0,955.479160964919,955.479160964919,-1.95996108232066e-10,955.479160964722
P066,Productos de la edición,60.0900138920655,1030.26667618838,16.2253374046195,0,0,-123.152288527577,0,-0,983.429738957486,983.429738957486,2.68073563347571e-10,983.429738957754
P067,Productos de la impresión,99.9974932247397,195.589925423468,0,0,0,13.7666305579008,0,-0,309.354049206108,309.354049206108,7.50333128962666e-12,309.354049206116
P068,"Gasolinas, diésel oil y fuel oils",0,0,0,0,0,0,0,-0,0,0,-2.45705678025843e-11,-2.46132003667299e-11
P069,"Aceites, grasas lubricantes y otros aceites preparados",0,0,0,0,0,0,0,-0,0,0,0,0
P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",33.2212436802999,0,0,0,0,5.43565192856477e-13,0,-0,33.2212436803005,33.2212436803005,-2.52043719228823e-10,33.2212436800484
P071,"Abonos, fertilizantes y pesticidas",1014.1165332776,5.16936122329105,0,0,0,47.7187856625894,0,-0,1067.00468016348,1067.00468016348,-3.91082721762359e-11,1067.00468016344
P072,"Pinturas, barnices, tintas y productos relacionados",359.2331302035,37.272489213875,2.61850865978913,0,0,4.34293268337146,0,-0,403.467060760536,403.467060760535,-6.59383658785373e-12,403.467060760529
P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",1746.73381511222,2042.02551197692,0,0,0,-8.54845877962855,0,-0,3780.2108683095,3780.2108683095,8.54925019666553e-11,3780.21086830959
P074,Otros productos químicos,2109.28530085799,322.397777419136,0,0,0,105.177957247791,0,-0,2536.86103552492,2536.86103552492,-8.66293703438714e-10,2536.86103552405
P075,Productos farmacéuticos,999.6227423771,629.420737587503,31.891509341568,695.760881591571,0,14.9921588627901,0,-0,2371.68802976053,2371.68802976053,-4.56293491879478e-09,2371.68802975597
P076,Productos de caucho y plástico,2100.62313076026,1717.85113711216,5.14587083744506,0,0,-57.3788161311414,0,-0,3766.24132257872,3766.24132257872,-1.45519152283669e-10,3766.24132257858
P077,Vidrio y productos de vidrio,373.003640184484,37.3568920331921,0,0,0,3.81476906679869,0,-0,414.175301284475,414.175301284475,-1.69393388205208e-11,414.175301284458
