codigo,producto,consumo_intermedio_domestico,consumo_intermedio_importado,impuestos_netos_productos,valor_agregado_bruto,suma_coeficientes
P083,Productos metálicos estructurales y sus partes de hierro o de acero,0.178754279294607,0.514618285034396,0.0100399376408777,0.29658749803012,1
P084,Otros productos elaborados de metal,0.193739883542274,0.469994657851002,0.0115339718589926,0.324731486747731,1
P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",0.233795162797992,0.347633792190764,0.00809770463605709,0.410473340375186,1
P086,Electrodomésticos y sus partes,0,0,0,0,0
P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",0,0,0,0,0
P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",0.335855293821871,0.428786278059199,0.0132427877882615,0.222115640330669,1
P089,"Equipo y aparatos de radio, televisión y comunicaciones",0,0,0,0,0
P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",0.356846479259376,0.190006820150549,0.013655201300854,0.439491499289221,1
P091,Equipo de transporte,0.342675083875267,0.253599164223935,0.0102236498088078,0.39350210209199,1
P092,Muebles,0.48100683633292,0.133499004445138,0.0075180868767975,0.377976072345144,1
P093,Otros artículos n.c.p.,0.306725220991638,0.189184899757854,0.0101151760364565,0.493974703214052,1
P094,Residuos y desechos,0.168115579656983,0.0969736669665107,0.0129158188151108,0.721994934561395,1
P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",0.215262929684877,0.202779065862871,0.00720703081525976,0.574750973636993,1
P096,Agua natural y distribución de agua natural,0.315115002623,0.077013567412735,0.0118474693770488,0.596023960587216,1
P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",0.187311639972224,0.142413787950032,0.0169456834687635,0.653328888608981,1
P098,Edificaciones residenciales,0.400479623287246,0.0955712604975895,0.00995427107827994,0.493994845136885,1
P099,Edificaciones no residenciales,0.463673794337101,0.158477763510872,0.0119457234950159,0.365902718657011,1
P100,Obras de ingeniería civil,0.458207749274956,0.102955944753426,0.0131227668845919,0.425713539087025,1
P101,Servicios generales y especializados de construcción,0.460524104216949,0.133818947481878,0.0143062251483409,0.391350723152832,1
P102,Servicios de comercio,0.245947639324087,0.0347461506552005,0.00732328902572022,0.711982920994992,1
P103,Mantenimiento y reparación de vehículos automotores y motocicletas,0.194964377744068,0.115739281494925,0.0123062060017968,0.67699013475921,1
P104,Servicio de transporte de pasajeros por vía terrestre,0.233328980979192,0.253803806972404,0.0212674187257366,0.491599793322667,1
P105,Servicio de transporte de carga por vía terrestre,0.272266153449724,0.262860182291472,0.0273941595719109,0.437479504686894,1
P106,Otros tipos de transporte,0.302282850247617,0.171947278280164,0.0155968608969539,0.510173010575265,1
P107,Servicios de almacenamiento y depósito,0.359486118670737,0.0124083105013699,0.00878251709682567,0.619323053731067,1
P108,Otros servicios de apoyo al transporte,0.405944252432726,0.0714300816518152,0.0088062150572862,0.513819450858173,1
P109,Servicios postales y de mensajería,0.373559003396754,0.136224938934666,0.0164710067580788,0.473745050910502,1
P110,Servicio de alojamiento,0.36279931029293,0.0904420102358263,0.0116160455991024,0.535142633872141,1
P111,Servicio de suministro de comidas y bebidas,0.49818317873404,0.10443608004869,0.0124008703518483,0.384979870865422,1
P112,"Servicios de información, telecomunicaciones y radiodifusión",0.238521259720722,0.121438951522165,0.00815399037858976,0.631885798378523,1
P113,Servicios de banco central,0.546312963956881,0.0678597740845416,0.0182823947438777,0.3675448672147,1
P114,Otros servicios financieros y servicios de banca de inversión,0.522297886454872,0.111836042213055,0.0101893702271415,0.355676701104932,1
