orden,codigo,producto,produccion_cero,unidad_monetaria,precios,anio_referencia
140,P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,False,millones de quetzales,precios básicos,2013
141,P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,False,millones de quetzales,precios básicos,2013
142,P142,Servicios de enseñanza,False,millones de quetzales,precios básicos,2013
143,P143,Servicios de hospitalización,False,millones de quetzales,precios básicos,2013
144,P144,Servicios médicos y dentales,False,millones de quetzales,precios básicos,2013
145,P145,Otros servicios de atención de la salud humana,False,millones de quetzales,precios básicos,2013
146,P146,"Servicios audiovisuales, recreativos, culturales y deportivos",False,millones de quetzales,precios básicos,2013
147,P147,Servicios de asociaciones que sirven a las empresas,False,millones de quetzales,precios básicos,2013
148,P148,Servicios de asociaciones que sirven a los hogares,False,millones de quetzales,precios básicos,2013
149,P149,Otros servicios,False,millones de quetzales,precios básicos,2013
150,P150,Servicios domésticos,False,millones de quetzales,precios básicos,2013
151,P151,Compras directas en el exterior por residentes,True,millones de quetzales,precios básicos,2013
152,P152,Compras directas en el territorio nacional por no residentes,True,millones de quetzales,precios básicos,2013
