codigo,producto,multiplicador_produccion_domestica,encadenamiento_atras_normalizado,encadenamiento_adelante_normalizado,coeficiente_importacion_directa,requerimiento_importacion_total,multiplicador_valor_agregado,multiplicador_empleo_puestos_por_millon
P029,"Peces vivos, frescos o refrigerados",1.23228338242652,0.835598876557083,0.700452740216565,0.228187039363356,0.265017052255985,0.69560250187365,25.2936930923985
P030,Crustáceos sin congelar y otros productos de la pesca,1.68388643177874,1.14182632883791,0.721599165635169,0.0900541536041921,0.253666003432934,0.736653040250025,18.6821026995799
P031,Petróleo crudo y gas natural,1.3489500808731,0.91470938274733,0.902335910626413,0.154865403536965,0.209564930972577,0.777662335757163,1.62845569949983
P032,Minerales metálicos,1.35224526427174,0.916943813224293,0.678089868348048,0.1378702806695,0.197943023456832,0.791210488679762,2.30635409762656
P033,Minerales no metálicos,1.37169817180717,0.930134632733983,1.25627514748444,0.119605875969658,0.166285301032094,0.816938457760345,15.7773724587844
P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,1.98166820672736,1.34374913340926,0.947832333210751,0.0162871329954542,0.114292030429419,0.877440642118515,19.7016380227352
P035,Carne y despojos comestibles de ganado porcino,2.35180574639109,1.59473564895052,0.758656396612412,0.00707989593121568,0.210665136030608,0.781849410150103,23.235233404828
P036,Carne y despojos comestibles de aves,2.36674459892313,1.60486553349724,0.777518377513185,0.0327877574317024,0.235452190912108,0.756344293131434,13.0699703071534
P037,Carne y despojos de otros animales y conservas y preparados de carne,1.95783119298782,1.32758549590082,0.727523678656866,0.132759780230475,0.251268348061908,0.736503962745115,11.8800455440057
P038,"Pescado congelado, preparado o en conserva y sus productos",1.19385546206971,0.809541293101447,0.683040595243492,0.561589702310699,0.590872470540312,0.395238125531058,2.77260213793542
P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",1.48711653421006,1.00839865490071,0.800859000734287,0.364377744534873,0.46442463505035,0.526874259150838,4.06142119697324
P040,"Vegetales preparados o en conserva, legumbres y papas",1.69386721127492,1.14859419429248,0.694793508648852,0.23457495284473,0.321183178238538,0.664515614860946,18.5565102604913
P041,Preparaciones y conservas de frutas y nueces,1.4844923460342,1.00661921948602,0.716406721811592,0.156979670764745,0.216566820194516,0.775130997641317,13.8256789467332
P042,Jugos de frutas,1.65030506785183,1.11905514619376,0.688934210459643,0.219723385951679,0.299262534465626,0.685092871985741,11.7547974979209
P043,Aceites de origen vegetal,1.80693624625906,1.22526516133912,0.935159892500759,0.11422459782393,0.217706757665192,0.77406363892499,8.23933585194216
P044,"Margarina, grasas y otros aceites de origen animal y vegetal",1.848871606987,1.25370110457426,0.850993732079469,0.142454389617179,0.248417050306887,0.741317684641912,9.03432856415577
P045,Leche líquida y crema procesada,1.98214837010211,1.34407472732884,0.696196239852811,0.0756343738401298,0.240441266063075,0.745882888175419,15.9126550744139
P046,Otros productos lácteos n.c.p.,1.92770447250568,1.30715687197532,0.690775798316304,0.0812478353815747,0.235968334642859,0.749285176986798,15.8242512634689
P047,Harina de trigo,1.26569033682357,0.858251793866087,0.859488501565494,0.557671656946243,0.600595310263131,0.390574037809176,1.917866312184
P048,Arroz sin cáscara,1.37187532202482,0.930254756501748,0.683057165877184,0.398827660682081,0.459701127978931,0.528117300212709,6.72092808878235
P049,"Otros productos de molinería, almidones y productos de almidón",1.44685048291357,0.981094653478175,0.721344020361798,0.328222622155219,0.396156635759679,0.595529309133664,17.9916995500916
P050,Pan y otros productos de panadería y repostería n.c.p.,1.67175547969703,1.13360045313789,0.703380501383708,0.107251557414917,0.286691953343373,0.702778427027699,10.7894412688628
P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",1.46621387070247,0.99422477055472,0.690935866009631,0.138359694343407,0.194447417233579,0.805549402051781,59.3401409886162
