codigo,producto,balance_fila_fuente,diferencia_produccion_utilizacion,balance_fila_ajustado,balance_columna
P126,Servicios  de agencias de empleo y de dotación de recursos humanos,1.81898940354586e-12,0,0,0
P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",0,-1.13686837721616e-13,0,0
P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",1.36424205265939e-12,-9.09494701772928e-13,0,0
P129,Servicios de limpieza,-3.41060513164848e-13,1.13686837721616e-13,0,0
P130,Servicios telefónicos de centros de llamadas,0,-6.00266503170133e-11,0,0
P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",0,5.72981662116945e-11,0,0
P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",4.54747350886464e-13,-6.18456397205591e-11,0,0
P133,Servicios de reparación de otros bienes,-1.13686837721616e-13,0,0,0
P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",-4.54747350886464e-13,1.81898940354586e-12,0,0
P135,"Servicios de apoyo a la explotación de minas y canteras y los relacionados con la distribución de electricidad, gas y agua",0,0,0,0
P136,Servicios de manufactura,-9.09494701772928e-13,0,0,0
P137,Servicios públicos del gobierno general,0,0,0,0
P138,"Servicios públicos administrativos relacionados con la provisión de servicios educativos, de salud, servicios sociales, culturales y otros, sin contar los servicios de seguridad social",0,0,0,0
P139,Otros servicios administrativos,0,0,0,0
P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,0,0,0,0
P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,0,0,0,1.13686837721616e-13
P142,Servicios de enseñanza,0,4.36557456851006e-11,0,-3.63797880709171e-12
P143,Servicios de hospitalización,0,0,0,0
P144,Servicios médicos y dentales,0,0,0,0
P145,Otros servicios de atención de la salud humana,0,-4.54747350886464e-13,0,0
P146,"Servicios audiovisuales, recreativos, culturales y deportivos",0,-8.18545231595635e-12,0,0
P147,Servicios de asociaciones que sirven a las empresas,-5.6843418860808e-14,-6.70752342557535e-12,0,0
P148,Servicios de asociaciones que sirven a los hogares,0,0,0,0
P149,Otros servicios,0,0,0,0
P150,Servicios domésticos,0,0,0,0
P151,Compras directas en el exterior por residentes,0,0,0,0
P152,Compras directas en el territorio nacional por no residentes,0,0,0,0
